3cpio	0.14.0-1ubuntu1
libbpf1:amd64	1:1.6.3-1ubuntu1
libbpfcc:amd64	0.35.0+ds-1ubuntu2
libbrlapi0.8:amd64	6.7-1ubuntu6
libbrotli-dev:amd64	1.2.0-3build1
libbrotli1:amd64	1.2.0-3build1
libbs2b0:amd64	3.1.0+dfsg-8build1
libbsd0:amd64	0.12.2-2build2
libbsd0:i386	0.12.2-2build2
libburn4t64:amd64	1.5.6-1.2build1
libbytesize-common	2.12-1
libbytesize1:amd64	2.12-1
libbz2-1.0:amd64	1.0.8-6build2
libbz2-dev:amd64	1.0.8-6build2
libc-bin	2.43-2ubuntu2.3
libc-dev-bin	2.43-2ubuntu2.3
libc-devtools	2.43-2ubuntu2.3
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.3
libc-gconv-modules-extra:i386	2.43-2ubuntu2.3
libc6:amd64	2.43-2ubuntu2.3
libc6:i386	2.43-2ubuntu2.3
libc6-dbg:amd64	2.43-2ubuntu2.3
libc6-dev:amd64	2.43-2ubuntu2.3
libcaca0:amd64	0.99.beta20-6ubuntu2.1
libcacard0:amd64	1:2.8.1-2
libcairo-gobject-perl	1.005-4build4
libcairo-gobject2:amd64	1.18.4-3
libcairo-perl	1.109-5build1
libcairo-script-interpreter2:amd64	1.18.4-3
libcairo2:amd64	1.18.4-3
libcairo2-dev:amd64	1.18.4-3
libcairomm-1.0-1v5:amd64	1.14.5-3
libcairomm-1.16-1:amd64	1.18.0-3
libcamel-1.2-64t64:amd64	3.56.2-8
libcamera-ipa:amd64	0.7.0-1ubuntu2
libcamera0.7:amd64	0.7.0-1ubuntu2
libcanberra-gtk3-0:amd64	0.30-18ubuntu3
libcanberra-gtk3-module:amd64	0.30-18ubuntu3
libcanberra-pulse:amd64	0.30-18ubuntu3
libcanberra0:amd64	0.30-18ubuntu3
libcap-ng0:amd64	0.8.5-4build5
libcap2:amd64	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcares2:amd64	1.34.6-1
libcarp-clan-perl	6.08-2
libcbor0.10:amd64	0.10.2-2ubuntu3
libcc1-0:amd64	16-20260322-1ubuntu1
libccid	1.7.1-1
libcdio-cdda2t64:amd64	10.2+2.0.2-2
libcdio-paranoia2t64:amd64	10.2+2.0.2-2
libcdio19t64:amd64	2.2.0-4build1
libcdparanoia0:amd64	3.10.2+debian-14ubuntu2
libcdr-0.1-1:amd64	0.1.7-1build4
libcfitsio10t64:amd64	4.6.3-1
libcharls2:amd64	2.4.2-2build3
libchewing3:amd64	0.11.0-1
libchewing3-data	0.11.0-1
libchromaprint1:amd64	1.6.0-2build1
libcjson1:amd64	1.7.19-2
libclang-cpp21	1:21.1.8-6ubuntu1
libclang1-21	1:21.1.8-6ubuntu1
libclone-perl:amd64	0.47-1
libclucene-contribs1t64:amd64	2.3.3.4+dfsg-1.3
libclucene-core1t64:amd64	2.3.3.4+dfsg-1.3
libcodec2-1.2:amd64	1.2.0-4
libcolamd3:amd64	1:7.12.2+dfsg-1ubuntu1
libcollection4t64:amd64	0.6.2-3build1
libcolord-gtk4-1t64:amd64	0.3.1-2
libcolord2:amd64	1.4.8-3
libcolorhug2:amd64	1.4.8-3
libcom-err2:amd64	1.47.2-3ubuntu4
libcommon-sense-perl:amd64	3.75-3build5
libcommons-logging-java	1.3.0-1ubuntu1
libcommons-parent-java	56-1build1
libcompel1:amd64	4.2-1ubuntu2
libcomposefs1:amd64	1.0.8-3
libcpptrace	1.0.4ppa8
libcpuinfo0:amd64	0.0~git20250905.877328f-1
libcrack2:amd64	2.9.6-5.2build3
libcriu2:amd64	4.2-1ubuntu2
libcrypt-dev:amd64	1:4.5.1-1
libcrypt-rc4-perl	2.02-5
libcrypt-urandom-perl	0.55-1
libcrypt1:amd64	1:4.5.1-1
libcryptsetup12:amd64	2:2.8.4-1ubuntu4
libctf-nobfd0:amd64	2.46-3ubuntu2
libctf0:amd64	2.46-3ubuntu2
libcue2:amd64	2.2.1-4.2
libcups2t64:amd64	2.4.16-1ubuntu1.3
libcupsfilters2-common	2.1.1-0ubuntu5
libcupsfilters2t64:amd64	2.1.1-0ubuntu5
libcupsimage2t64:amd64	2.4.16-1ubuntu1.3
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.3
libcurl4t64:amd64	8.18.0-1ubuntu2.3
libdaemon0:amd64	0.14-7.1ubuntu5
libdata-dump-perl	1.25-1
libdate-calc-perl	6.4-2
libdate-calc-xs-perl:amd64	6.4-3
libdate-manip-perl	6.98-1
libdatrie1:amd64	0.2.14-1
libdav1d7:amd64	1.5.3-1
libdaxctl1:amd64	81-1ubuntu1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
libdbus-1-dev:amd64	1.16.2-2ubuntu4
libdbusmenu-glib4:amd64	18.10.20180917~bzr492+repack1-4build1
libdbusmenu-gtk3-4:amd64	18.10.20180917~bzr492+repack1-4build1
libdc1394-25:amd64	2.2.6-6
libdca0:amd64	0.0.7-2build2
libdconf1:amd64	0.49.0-4
libde265-0:amd64	1.0.16-1build1
libdebconfclient0:amd64	0.280ubuntu1
libdebuginfod-common	0.194-4
libdebuginfod1t64:amd64	0.194-4
libdecor-0-0:amd64	0.2.5-1
libdecor-0-plugin-1-gtk:amd64	0.2.5-1
libdee-1.0-4:amd64	1.2.7+17.10.20170616-8build1
libdeflate0:amd64	1.23-2ubuntu1
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libdex-1-1:amd64	1.1.0-1
libdhash1t64:amd64	0.6.2-3build1
libdigest-perl-md5-perl	1.91-1
libdisplay-info3:amd64	0.3.0-1
libdjvulibre-text	3.5.29-1
libdjvulibre21:amd64	3.5.29-1
libdmapsharing-4.0-3t64:amd64	3.9.13-5
libdmtx0t64:amd64	0.7.8-1
libdnnl3.6:amd64	3.9.1+ds-2
libdotconf0:amd64	1.4.1-1build1
libdouble-conversion3:amd64	3.4.0-1
libdpkg-perl	1.23.7ubuntu1
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-amdgpu1:i386	2.4.131-1
libdrm-common	2.4.131-1
libdrm-intel1:amd64	2.4.131-1
libdrm-intel1:i386	2.4.131-1
libdrm-nouveau2:amd64	2.4.131-1
libdrm-radeon1:amd64	2.4.131-1
libdrm2:amd64	2.4.131-1
libdrm2:i386	2.4.131-1
libduktape207:amd64	2.7.0+tests-0ubuntu4
libdv4t64:amd64	1.0.0-17.1build2
libdvdnav4:amd64	7.0.0-2
libdvdread8t64:amd64	7.0.1-1
libdw1t64:amd64	0.194-4
libdwarf1:amd64	1:0.11.1-1build1
libe-book-0.1-1:amd64	0.1.3-2build9
libeatmydata1:amd64	131-2build1
libebackend-1.2-11t64:amd64	3.56.2-8
libebook-1.2-21t64:amd64	3.56.2-8
libebook-contacts-1.2-4t64:amd64	3.56.2-8
libebur128-1:amd64	1.2.6-2
libecal-2.0-3:amd64	3.56.2-8
libedata-book-1.2-27t64:amd64	3.56.2-8
libedata-cal-2.0-2t64:amd64	3.56.2-8
libedataserver-1.2-27t64:amd64	3.56.2-8
libedataserverui-1.2-4t64:amd64	3.56.2-8
libedataserverui4-1.0-0t64:amd64	3.56.2-8
libedit2:amd64	3.1-20251016-1
libedit2:i386	3.1-20251016-1
libeditorconfig0:amd64	0.12.10+~0.17.1-3ubuntu0.1
libefiboot1t64:amd64	39-2
libefivar1t64:amd64	39-2
libegl-mesa0:amd64	26.0.3-1ubuntu1
libegl1:amd64	1.7.0-3
libei1:amd64	1.5.0-3
libeis1:amd64	1.5.0-3
libelf1t64:amd64	0.194-4
libelf1t64:i386	0.194-4
libenchant-2-2:amd64	2.8.2+dfsg1-3build1
libencode-locale-perl	1.05-3
libeot0:amd64	0.01-5build4
libepoxy0:amd64	1.5.10-2build1
libepubgen-0.1-1:amd64	0.1.1-1ubuntu8
liberror-perl	0.17030-1
libespeak-ng1:amd64	1.52.0+dfsg-5build1
libestr0:amd64	0.1.11-2build1
libetonyek-0.1-1:amd64	0.1.13-2
libevdev2:amd64	1.13.6+dfsg-1
libevdocument-4.0-6:amd64	49~alpha-2ubuntu2.1
libevent-2.1-7t64:amd64	2.1.12-stable-10build2
libevent-core-2.1-7t64:amd64	2.1.12-stable-10build2
libevent-extra-2.1-7t64:amd64	2.1.12-stable-10build2
libevview-4.0-5:amd64	49~alpha-2ubuntu2.1
libexempi8:amd64	2.6.6-2build1
libexif12:amd64	0.6.25-2ubuntu0.1
libexiv2-28:amd64	0.28.8+dfsg-1
libexiv2-data	0.28.8+dfsg-1
libexpat1:amd64	2.7.4-1
libexpat1:i386	2.7.4-1
libexpat1-dev:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libexttextcat-2.0-0:amd64	3.4.7-2
libexttextcat-data	3.4.7-2
libextutils-depends-perl	0.8002-1
libfaad2:amd64	2.11.2-1build1
libfakechroot:amd64	2.20.1+ds-15
libfakeroot:amd64	1.37.2-1
libfarmhash0:amd64	0~git20190513.0d859a8-4
libfastjson4:amd64	1.2304.0-2build1
libfcft4t64	3.3.2-1
libfdisk1:amd64	2.41.3-3ubuntu2
libfdk-aac2:amd64	2.0.2-3~ubuntu5
libfdt1:amd64	1.7.2-2ubuntu1
libffi-dev:amd64	3.5.2-4
libffi8:amd64	3.5.2-4
libffi8:i386	3.5.2-4
libfftw3-double3:amd64	3.3.10-2fakesync1build3
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libfido2-1:amd64	1.16.0-2build1
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.23-1
libfile-fcntllock-perl	0.22-4ubuntu6
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.36-2
libflac14:amd64	1.5.0+ds-5
libflashrom1:amd64	1.6.0-2ubuntu1
libflite1:amd64	2.2-7build1
libfluidsynth3:amd64	2.4.8+dfsg-1
libfmt10:amd64	10.1.1+ds1-4build1
libfont-afm-perl	1.20-4
libfontbox-java	1:1.8.16-5
libfontconfig-dev:amd64	2.17.1-3ubuntu1
libfontconfig1:amd64	2.17.1-3ubuntu1
libfontenc1:amd64	1:1.1.8-1build2
libfprint-2-2	1:1.95.1+tod1-0ubuntu1
libfprint-2-tod1:amd64	1:1.95.1+tod1-0ubuntu1
libfreeaptx0:amd64	0.2.2-1build1
libfreehand-0.1-1	0.1.2-3build4
libfreerdp-client3-3:amd64	3.30.0+dfsg-0ubuntu0.26.04.2
libfreerdp-server3-3:amd64	3.30.0+dfsg-0ubuntu0.26.04.2
libfreerdp3-3:amd64	3.30.0+dfsg-0ubuntu0.26.04.2
libfreetype-dev:amd64	2.14.2+dfsg-1ubuntu0.1
libfreetype6:amd64	2.14.2+dfsg-1ubuntu0.1
libfreexl1:amd64	2.0.0-1build3
libfribidi0:amd64	1.0.16-5
libftdi1-2:amd64	1.6~rc1-1build1
libfuse3-4:amd64	3.18.2-1
libfwupd3:amd64	2.1.1-1ubuntu3
libfyaml0:amd64	0.9.4-1
libfyba0t64:amd64	4.1.1-11build2
libgail-common:amd64	2.24.33-10
libgail18t64:amd64	2.24.33-10
libgamemode0:amd64	1.8.2-2build1
libgamemodeauto0:amd64	1.8.2-2build1
libgav1-2:amd64	0.20.0-2build1
libgavl3:amd64	2.0.1-1
libgbm1:amd64	26.0.3-1ubuntu1
libgbm1:i386	26.0.3-1ubuntu1
libgc1:amd64	1:8.2.12-1
libgcc-13-dev:amd64	13.4.0-10ubuntu1
libgcc-15-dev:amd64	15.2.0-16ubuntu1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcc-s1:i386	16-20260322-1ubuntu1
libgck-1-0:amd64	3.41.2-6
libgck-2-2:amd64	4.4.0.1-8
libgcr-4-4:amd64	4.4.0.1-8
libgcr-base-3-1:amd64	3.41.2-6
libgcr-ui-3-1:amd64	3.41.2-6
libgcrypt20:amd64	1.12.0-2ubuntu0.1
libgd3:amd64	2.3.3-13ubuntu2
libgdal38:amd64	3.12.2+dfsg-1build2
libgdbm-compat4t64:amd64	1.26-1build1
libgdbm6t64:amd64	1.26-1build1
libgdcm3.0t64:amd64	3.0.24-9ubuntu1
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-bin	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1
libgdm1	50.0-0ubuntu1
libgee-0.8-2:amd64	0.20.8-2
libgeoclue-2-0:amd64	2.7.2-2ubuntu3
libgeocode-glib-2-0:amd64	3.26.4-3
libgeos-c1t64:amd64	3.14.1-2
libgeos3.14.1:amd64	3.14.1-2
libgeotiff5:amd64	1.7.4-1build1
libgexiv2-2:amd64	0.14.6-2
libgfortran5:amd64	16-20260322-1ubuntu1
libgif7:amd64	5.2.2-1ubuntu3.2
libgio-2.0-dev:amd64	2.88.0-1
libgio-2.0-dev-bin	2.88.0-1
libgirepository-1.0-1:amd64	1.86.0-6build1
libgirepository-2.0-0:amd64	2.88.0-1
libgirepository-2.0-dev:amd64	2.88.0-1
libgjs0:amd64	1.88.0-1
libgl1:amd64	1.7.0-3
libgl1-mesa-dri:amd64	26.0.3-1ubuntu1
libgles2:amd64	1.7.0-3
libglew2.2:amd64	2.2.0-4build2
libglib-object-introspection-perl	0.052-1
libglib-perl:amd64	3:1.329.4-1
libglib2.0-0t64:amd64	2.88.0-1
libglib2.0-bin	2.88.0-1
libglib2.0-data	2.88.0-1
libglib2.0-dev:amd64	2.88.0-1
libglib2.0-dev-bin	2.88.0-1
libglibmm-2.4-1t64:amd64	2.66.8-3
libglibmm-2.68-1t64:amd64	2.86.0-7
libglu1-mesa:amd64	9.0.2-1.1build2
libglvnd0:amd64	1.7.0-3
libglx-mesa0:amd64	26.0.3-1ubuntu1
libglx0:amd64	1.7.0-3
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1
libglycin-gtk4-2-0:amd64	2.1.1+ds-0ubuntu1
libgme0:amd64	0.6.4-1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnome-autoar-0-0:amd64	0.4.5-5
libgnome-bg-4-2t64:amd64	44.5-1ubuntu1
libgnome-bluetooth-3.0-13:amd64	47.1-5
libgnome-bluetooth-ui-3.0-13:amd64	47.1-5
libgnome-desktop-3-20t64:amd64	44.5-1ubuntu1
libgnome-desktop-4-2t64:amd64	44.5-1ubuntu1
libgnome-menu-3-0:amd64	3.38.1-1ubuntu1
libgnome-qr-4-0:amd64	44.5-1ubuntu1
libgnome-qr-gtk-4-0:amd64	44.5-1ubuntu1
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgoa-1.0-0b:amd64	3.58.0-1
libgoa-1.0-common	3.58.0-1
libgoa-backend-1.0-2:amd64	3.58.0-1
libgom-1.0-0t64:amd64	0.5.5-1
libgomp1:amd64	16-20260322-1ubuntu1
libgpg-error-l10n	1.58-2
libgpg-error0:amd64	1.58-2
libgpgme45:amd64	2.0.1-2build1
libgpgmepp7:amd64	2.0.0-2
libgphoto2-6t64:amd64	2.5.33-1ubuntu1.1
libgphoto2-l10n	2.5.33-1ubuntu1.1
libgphoto2-port12t64:amd64	2.5.33-1ubuntu1.1
libgpm2:amd64	1.20.7-12build1
libgpod-common	0.8.3-23
libgpod4t64:amd64	0.8.3-23
libgprofng0:amd64	2.46-3ubuntu2
libgps32:amd64	3.27.5-0.1
libgraphene-1.0-0:amd64	1.10.8-5build1
libgraphite2-3:amd64	1.3.14-11ubuntu1.1
libgrilo-0.3-0:amd64	0.3.19-2
libgs-common	10.06.0~dfsg-3ubuntu1
libgs10:amd64	10.06.0~dfsg-3ubuntu1
libgs10-common	10.06.0~dfsg-3ubuntu1
libgsasl18:amd64	2.2.2-4ubuntu1.1
libgsf-1-114:amd64	1.14.53-1.1
libgsf-1-common	1.14.53-1.1
libgsm1:amd64	1.0.23-2
libgsound0t64:amd64	1.0.3-4
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4.1
libgssdp-1.6-0:amd64	1.6.4-5
libgssglue1:amd64	0.9-2
libgstreamer-gl1.0-0:amd64	1.28.2-1
libgstreamer-plugins-bad1.0-0:amd64	1.28.2-1ubuntu1.1
libgstreamer-plugins-base1.0-0:amd64	1.28.2-1
libgstreamer-plugins-extra1.0-0:amd64	1.28.2-1ubuntu1.1
libgstreamer1.0-0:amd64	1.28.2-1
libgtk-3-0t64:amd64	3.24.52-0ubuntu1
libgtk-3-bin	3.24.52-0ubuntu1
libgtk-3-common	3.24.52-0ubuntu1
libgtk-4-1:amd64	4.22.4+ds-0ubuntu0.1
libgtk-4-bin	4.22.4+ds-0ubuntu0.1
libgtk-4-common	4.22.4+ds-0ubuntu0.1
libgtk-layer-shell0:amd64	0.10.0-1
libgtk2.0-0t64:amd64	2.24.33-10
libgtk2.0-bin	2.24.33-10
libgtk2.0-common	2.24.33-10
libgtk3-perl	0.038-3
libgtk4-layer-shell0:amd64	1.3.0-1
libgtkmm-3.0-1t64:amd64	3.24.10-2
libgtkmm-4.0-0:amd64	4.20.0-1build1
libgtksourceview-5-0:amd64	5.18.0-3
libgtksourceview-5-common	5.18.0-3
libgtop-2.0-11:amd64	2.41.3-2ubuntu1
libgtop2-common	2.41.3-2ubuntu1
libgudev-1.0-0:amd64	1:238-7build1
libgumbo3:amd64	0.13.0+dfsg-2build1
libgupnp-1.6-0:amd64	1.6.9-4
libgupnp-av-1.0-3:amd64	0.14.4-3
libgupnp-dlna-2.0-4:amd64	0.12.0-8
libgupnp-igd-1.6-0:amd64	1.6.0-5
libgusb2a:amd64	0.4.9-7
libgweather-4-0t64:amd64	4.4.4-4
libgweather-4-common	4.4.4-4
libgxps2t64:amd64	0.3.2-6
libhandy-1-0:amd64	1.8.3-3build1
libharfbuzz-gobject0:amd64	12.3.2-2
libharfbuzz-icu0:amd64	12.3.2-2
libharfbuzz-subset0:amd64	12.3.2-2
libharfbuzz0b:amd64	12.3.2-2
libhdf4-0:amd64	4.3.1-2
libhdf5-310:amd64	1.14.6+repack-2
libhdf5-hl-310:amd64	1.14.6+repack-2
libheif-plugin-aomdec:amd64	1.21.2-3ubuntu0.3
libheif-plugin-aomenc:amd64	1.21.2-3ubuntu0.3
libheif-plugin-libde265:amd64	1.21.2-3ubuntu0.3
libheif1:amd64	1.21.2-3ubuntu0.3
libhogweed6t64:amd64	3.10.2-1
libhpmud0:amd64	3.24.4+dfsg0-0ubuntu8.1
libhtml-form-perl	6.13-1build1
libhtml-format-perl	2.16-2
libhtml-parser-perl:amd64	3.83-1ubuntu0.1
libhtml-tagset-perl	3.24-1
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.26.04.1
libhttp-date-perl	6.06-1ubuntu0.26.04.1
libhttp-message-perl	7.01-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-11
libhwasan0:amd64	16-20260322-1ubuntu1
libhwloc-plugins:amd64	2.13.0-2
libhwloc15:amd64	2.13.0-2
libhwy1t64:amd64	1.3.0-2
libhyphen0:amd64	2.8.8-7build4
libhyprcursor0	0.1.13-0.1
libhyprgraphics4:amd64	0.5.0-2
libhyprlang2	0.6.8-2
libhyprtoolkit5:amd64	0.5.3-1
libhyprutils10:amd64	0.11.0-3
libhyprwire3:amd64	0.3.0-3
libi2c0:amd64	4.4-2build3
libibus-1.0-5:amd64	1.5.34~rc2-1
libibverbs1:amd64	61.0-2ubuntu3
libical3t64:amd64	3.0.20-2build1
libice-dev:amd64	2:1.1.1-1build1
libice6:amd64	2:1.1.1-1build1
libicu74:amd64	74.2-1ubuntu3.1
libicu78:amd64	78.2-2ubuntu1
libid3tag0:amd64	0.16.3-4
libidn12:amd64	1.43-2ubuntu0.26.04.1
libidn2-0:amd64	2.3.8-4build1
libidn2-0:i386	2.3.8-4build1
libiec61883-0:amd64	1.2.0-8
libieee1284-3t64:amd64	0.2.11-14.1build2
libigdgmm12:amd64	22.9.0+ds1-1
libijs-0.35:amd64	0.35-16
libimagequant0:amd64	4.4.1-1
libimath-3-1-29t64:amd64	3.1.12-1ubuntu5
libimobiledevice-1.0-6:amd64	1.4.0-1build1
libimobiledevice-glue-1.0-0	1.3.2-2build1
libini-config5t64:amd64	0.6.2-3build1
libinih1:amd64	61-1ubuntu1
libiniparser4:amd64	4.2.6-1build1
libinireader0:amd64	61-1ubuntu1
libinotifytools0:amd64	4.25.9.0-1
libinput-bin	1.31.1-1
libinput10:amd64	1.31.1-1
libinsights0:amd64	0.9.3ubuntu
libinstpatch-1.0-2:amd64	1.1.7-1.1
libintl-perl	1.37-1
libintl-xs-perl	1.37-1
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.098-1
libio-stringy-perl	2.113-2
libip4tc2:amd64	1.8.11-2ubuntu3
libip6tc2:amd64	1.8.11-2ubuntu3
libipa-hbac0t64	2.12.0-1ubuntu5.1
libipc-system-simple-perl	1.30-2
libipt2	2.1.2-3
libiscsi7:amd64	1.20.0-4build1
libisl23:amd64	0.27-1build1
libisoburn1t64:amd64	1:1.5.6-1.1ubuntu4
libisofs6t64:amd64	1.5.6.pl01-1.1ubuntu3
libitm1:amd64	16-20260322-1ubuntu1
libiw30t64:amd64	30~pre9-18ubuntu2
libjack-jackd2-0:amd64	1.9.22~dfsg-5build1
libjansson4:amd64	2.14-2build4
libjavascriptcoregtk-4.1-0:amd64	2.52.3-0ubuntu0.26.04.2
libjavascriptcoregtk-6.0-1:amd64	2.52.3-0ubuntu0.26.04.2
libjbig0:amd64	2.1-6.1ubuntu3
libjbig2dec0:amd64	0.20-1ubuntu0.26.04.1
libjcat1:amd64	0.2.5-1build1
libjcode-pm-perl	2.07-1
libjemalloc2:amd64	5.3.0-4
libjpeg-turbo8:amd64	2.1.5-4ubuntu4
libjpeg8:amd64	8c-2ubuntu12
libjq1:amd64	1.8.1-4ubuntu2
libjs-angularjs	1.8.3-3
libjs-events	3.3.0+~3.0.3-1
libjs-inherits	2.0.4-6
libjs-jquery	3.7.1+dfsg+~3.5.33-1build1
libjs-jquery-ui	1.13.2+dfsg-1build1
libjs-prettify	2015.12.04+dfsg-3
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sphinxdoc	8.2.3-12
libjs-sprintf-js	1.1.3+ds1+~1.1.4-2
libjs-util	0.12.5+~1.0.10-2
libjson-c5:amd64	0.18+ds-3
libjson-glib-1.0-0:amd64	1.10.8+ds-2
libjson-glib-1.0-common	1.10.8+ds-2
libjson-perl	4.10000-1
libjson-xs-perl	4.040-1
libjsoncpp26:amd64	1.9.6-5
libjxl-gdk-pixbuf:amd64	0.11.1-6ubuntu4.2
libjxl0.11:amd64	0.11.1-6ubuntu4.2
libjxr-tools	1.2~git20170615.f752187-5.3build1
libjxr0t64:amd64	1.2~git20170615.f752187-5.3build1
libk5crypto3:amd64	1.22.1-2ubuntu4.1
libkaccounts6-2:amd64	4:25.12.3-0ubuntu1
libkddockwidgets-qt6-3:amd64	2.4.0+ds-2ubuntu1
libkdecorations3-6:amd64	4:6.6.4-0ubuntu1
libkdecorations3private2:amd64	4:6.6.4-0ubuntu1
libkeyutils1:amd64	1.6.3-6ubuntu3
libkf5archive-data	5.116.0-1ubuntu1
libkf5archive5:amd64	5.116.0-1ubuntu1
libkf5auth-data	5.116.0-1ubuntu1
libkf5authcore5:amd64	5.116.0-1ubuntu1
libkf5codecs-data	5.116.0-2
libkf5codecs5:amd64	5.116.0-2
libkf5config-bin	5.116.0-2
libkf5config-data	5.116.0-2
libkf5configcore5:amd64	5.116.0-2
libkf5configgui5:amd64	5.116.0-2
libkf5configwidgets-data	5.116.0-2
libkf5configwidgets5:amd64	5.116.0-2
libkf5coreaddons-data	5.116.0-1ubuntu1
libkf5coreaddons5:amd64	5.116.0-1ubuntu1
libkf5guiaddons-bin	5.116.0-2ubuntu1
libkf5guiaddons-data	5.116.0-2ubuntu1
libkf5guiaddons5:amd64	5.116.0-2ubuntu1
libkf5i18n-data	5.116.0-1ubuntu4
libkf5i18n5:amd64	5.116.0-1ubuntu4
libkf5iconthemes-bin	5.116.0-1ubuntu4
libkf5iconthemes-data	5.116.0-1ubuntu4
libkf5iconthemes5:amd64	5.116.0-1ubuntu4
libkf5kirigami2-5	5.116.0-1ubuntu4
libkf5style5:amd64	5.116.0-3
libkf5waylandclient5:amd64	4:5.116.0-0ubuntu7
libkf5widgetsaddons-data	5.116.0-1ubuntu1
libkf5widgetsaddons5:amd64	5.116.0-1ubuntu1
libkf5windowsystem-data	5.116.0-1ubuntu1
libkf5windowsystem5:amd64	5.116.0-1ubuntu1
libkf6archive-data	6.24.0-0ubuntu1
libkf6archive6:amd64	6.24.0-0ubuntu1
libkf6attica6:amd64	6.24.0-0ubuntu1
libkf6auth-data	6.24.0-0ubuntu1
libkf6authcore6:amd64	6.24.0-0ubuntu1
libkf6bluezqt-data	6.24.0-0ubuntu1
libkf6bluezqt6:amd64	6.24.0-0ubuntu1
libkf6bookmarks-data	6.24.0-0ubuntu1
libkf6bookmarks6:amd64	6.24.0-0ubuntu1
libkf6bookmarkswidgets6:amd64	6.24.0-0ubuntu1
libkf6breezeicons6:amd64	6.24.0-0ubuntu1
libkf6codecs-data	6.24.0-0ubuntu1
libkf6codecs6:amd64	6.24.0-0ubuntu1
libkf6colorscheme-data	6.24.0-0ubuntu1
libkf6colorscheme6:amd64	6.24.0-0ubuntu1
libkf6completion-data	6.24.0-0ubuntu1
libkf6completion6:amd64	6.24.0-0ubuntu1
libkf6config-data	6.24.0-0ubuntu1
libkf6configcore6:amd64	6.24.0-0ubuntu1
libkf6configgui6:amd64	6.24.0-0ubuntu1
libkf6configqml6:amd64	6.24.0-0ubuntu1
libkf6configwidgets-data	6.24.0-0ubuntu1
libkf6configwidgets6:amd64	6.24.0-0ubuntu1
libkf6coreaddons-data	6.24.0-0ubuntu1
libkf6coreaddons6:amd64	6.24.0-0ubuntu1
libkf6crash6:amd64	6.24.0-0ubuntu1
libkf6dbusaddons-data	6.24.0-0ubuntu1
libkf6dbusaddons6:amd64	6.24.0-0ubuntu1
libkf6doctools6:amd64	6.24.0-0ubuntu1
libkf6filemetadata-data	6.24.0-0ubuntu1
libkf6filemetadata3:amd64	6.24.0-0ubuntu1
libkf6globalaccel-data	6.24.0-0ubuntu1
libkf6globalaccel6:amd64	6.24.0-0ubuntu1
libkf6guiaddons-data	6.24.0-0ubuntu1.1
libkf6guiaddons6:amd64	6.24.0-0ubuntu1.1
libkf6i18n-data	6.24.0-0ubuntu1
libkf6i18n6:amd64	6.24.0-0ubuntu1
libkf6i18nqml6:amd64	6.24.0-0ubuntu1
libkf6iconthemes-data	6.24.0-0ubuntu2
libkf6iconthemes6:amd64	6.24.0-0ubuntu2
libkf6iconwidgets6:amd64	6.24.0-0ubuntu2
libkf6itemmodels6:amd64	6.24.0-0ubuntu1
libkf6itemviews-data	6.24.0-0ubuntu1
libkf6itemviews6:amd64	6.24.0-0ubuntu1
libkf6jobwidgets-data	6.24.0-0ubuntu1
libkf6jobwidgets6:amd64	6.24.0-0ubuntu1
libkf6kcmutils-bin	6.24.0-0ubuntu1
libkf6kcmutils-data	6.24.0-0ubuntu1
libkf6kcmutils6:amd64	6.24.0-0ubuntu1
libkf6kcmutilscore6:amd64	6.24.0-0ubuntu1
libkf6kcmutilsquick6:amd64	6.24.0-0ubuntu1
libkf6kiocore6:amd64	6.24.0-0ubuntu1
libkf6kiofilewidgets6:amd64	6.24.0-0ubuntu1
libkf6kiogui6:amd64	6.24.0-0ubuntu1
libkf6kiowidgets6:amd64	6.24.0-0ubuntu1
libkf6newstuff-data	6.24.0-0ubuntu1
