3cpio	0.14.0-1ubuntu1
docutils-common	0.22.4+dfsg-1
dosfstools	4.2-1.2build1
dpkg	1.23.7ubuntu1
dpkg-dev	1.23.7ubuntu1
dracut-install	110-11
duplicity	3.0.6.3-2build1
dvisvgm	3.6+ds-1
e2fsprogs	1.47.2-3ubuntu4
e2fsprogs-l10n	1.47.2-3ubuntu4
eatmydata	131-2build1
ed	1.22.4-1
efibootmgr	18-4ubuntu1
eject	2.41.3-3ubuntu2
emacsen-common	3.0.8build1
enchant-2	2.8.2+dfsg1-3build1
eslint	6.4.0~dfsg+~6.1.9-12
espeak-ng-data:amd64	1.52.0+dfsg-5build1
ethtool	1:6.19-1
evince	49~alpha-2ubuntu2.1
evince-common	49~alpha-2ubuntu2.1
evolution-data-server	3.56.2-8
evolution-data-server-common	3.56.2-8
exfatprogs	1.3.2-1
fakechroot	2.20.1+ds-15
fakeroot	1.37.2-1
fdisk	2.41.3-3ubuntu2
ffmpeg	7:8.0.1-3ubuntu2
file	1:5.46-5build2
file-roller	44.6-3
findutils	4.10.0-3build2
firefox	1:1snap1-0ubuntu8
firmware-sof-signed	2025.12.2-1
flatpak	1.16.6-1
fontconfig	2.17.1-3ubuntu1
fontconfig-config	2.17.1-3ubuntu1
fonts-adwaita	49.0+dfsg-2
fonts-adwaita-sans	49.0+dfsg-2
fonts-cantarell	0.303.1-4
fonts-dejavu-core	2.37-8build1
fonts-dejavu-extra	2.37-8build1
fonts-dejavu-mono	2.37-8build1
fonts-droid-fallback	1:8.1.0r7-1~1.gbp36536bbuild1
fonts-font-awesome	5.0.10+really4.7.0~dfsg-4.1build1
fonts-hack	3.003-4
fonts-lato	2.015-1build1
fonts-liberation	1:2.1.5-3build1
fonts-liberation-sans-narrow	1:1.07.6-4build1
fonts-lmodern	2.005-1build1
fonts-noto-cjk	1:20240730+repack1-1build1
fonts-noto-color-emoji	2.051-1build1
fonts-noto-core	20201225-2build1
fonts-noto-mono	20201225-2build1
fonts-opensymbol	4:102.12+LibO26.2.4.2-0ubuntu0.26.04.2
fonts-quicksand	0.2016-2.1build1
fonts-texgyre	20180621-7
fonts-texgyre-math	20180621-7
fonts-ubuntu	0.869+git20240321-0ubuntu2
fonts-urw-base35	20200910-8build1
foomatic-db-compressed-ppds	20250819-1build1
fprintd	1.94.5-4
frei0r-plugins	2.5.5-1ubuntu1
friendly-recovery	0.2.42build1
ftp	20260211-1
furo	2025.12.19+dfsg-1
fuse-overlayfs	1.14-1build2
fuse3	3.18.2-1
fuzzel	1.12.0+ds-1build1
fwupd	2.1.1-1ubuntu3
fwupd-signed	1.55+1.7-1
g++	4:15.2.0-5ubuntu1
g++-15	15.2.0-16ubuntu1
g++-15-x86-64-linux-gnu	15.2.0-16ubuntu1
g++-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gamemode	1.8.2-2build1
gamemode-daemon	1.8.2-2build1
gcc	4:15.2.0-5ubuntu1
gcc-13	13.4.0-10ubuntu1
gcc-13-base:amd64	13.4.0-10ubuntu1
gcc-13-x86-64-linux-gnu	13.4.0-10ubuntu1
gcc-15	15.2.0-16ubuntu1
gcc-15-base:amd64	15.2.0-16ubuntu1
gcc-15-x86-64-linux-gnu	15.2.0-16ubuntu1
gcc-16-base:amd64	16-20260322-1ubuntu1
gcc-16-base:i386	16-20260322-1ubuntu1
